Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
5,1,"Oct  5, 2015",0,"Oct  5, 2015",143 KB,2,1,1,https://github.com/lelayf/dfs-datastores,org.clojars.lelayf/dfs-datastores,https://clojars.org/org.clojars.lelayf/dfs-datastores/versions/1.1.3-SNAPSHOT,https://github.com/lelayf/dfs-datastores
1,0,"Oct  5, 2015",4,"Oct  5, 2015",902 KB,2,5,2,https://github.com/lzoubek/wildfly-extension-maven-plugin,org.jboss.plugins/wildfly-extension-maven-plugin,https://clojars.org/org.jboss.plugins/wildfly-extension-maven-plugin/versions/0.1-SNAPSHOT,https://github.com/lzoubek/wildfly-extension-maven-plugin
6,0,"Oct  5, 2015",1,"Oct  5, 2015",24 MB,2,1,2,http://www.franz.com/agraph,clj-allegrograph,https://clojars.org/clj-allegrograph/versions/1.0.0-SNAPSHOT,https://github.com/myfit/agraph-java-client
2,1,"Oct  5, 2015",1,"Oct  5, 2015",11.3 MB,2,1,1,https://github.com/pitluga/contessa,contessa,https://clojars.org/contessa/versions/0.1.0,https://github.com/pitluga/contessa
2,2,"Oct  5, 2015",3,"Oct  5, 2015",187 KB,2,2,1,https://github.com/RobinRamael/gif-clj,gif-clj,https://clojars.org/gif-clj/versions/1.0.3,https://github.com/RobinRamael/gif-clj
7,0,"Apr 16, 2016",3,"Jun 27, 2016",62.5 KB,2,3,11,https://github.com/flipkart-incubator/polyguice,com.flipkart.polyguice/polyguice-all,https://clojars.org/com.flipkart.polyguice/polyguice-all/versions/1.0.2-SNAPSHOT.patched,https://github.com/flipkart-incubator/polyguice
4,0,"Oct  5, 2015",2,"Oct  5, 2015",20.5 KB,2,3,4,https://github.com/RedHatQE/bugzilla-testng,com.redhat.qe/bugzilla-testng,https://clojars.org/com.redhat.qe/bugzilla-testng/versions/1.0.4,https://github.com/RedHatQE/bugzilla-testng
2,1,"Oct  5, 2015",1,"Oct  5, 2015",117 KB,2,1,1,https://github.com/w01fe/hungarian,w01fe/hungarian,https://clojars.org/w01fe/hungarian/versions/0.0.1-SNAPSHOT,https://github.com/w01fe/hungarian
1,3,"Oct  5, 2015",0,"Oct  5, 2015",453 KB,2,5,1,http://hypirion.github.com/com.hypirion.io/0.3.0/,com.hypirion/io,https://clojars.org/com.hypirion/io/versions/0.3.1,https://github.com/hyPiRion/com.hypirion.io
3,0,"Oct  5, 2015",1,"Oct  5, 2015",1.4 MB,2,1,1,https://github.com/ndimiduk/geohash-java,org.clojars.ndimiduk/geohash-java,https://clojars.org/org.clojars.ndimiduk/geohash-java/versions/1.0.6,https://github.com/ndimiduk/geohash-java
0,0,"Dec 12, 2018",0,"Dec 12, 2018",10.6 MB,2,1,1,https://github.com/profitware/clj-linux-net,clj-linux-net,https://clojars.org/clj-linux-net/versions/0.2.0-SNAPSHOT,https://github.com/profitware/clj-linux-net
