Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
72,0,0,0,"Dec 11, 2014",175,"Feb  3, 2017",32.4 MB,774,41,54,https://github.com/HubSpot/Singularity,singularity-logfetch,https://pypi.org/project/singularity-logfetch/0.29.3,https://github.com/HubSpot/Singularity
21,0,0,0,"Feb 17, 2019",112,about 1 month ago,10.7 MB,719,22,51,https://github.com/gojek/feast,feast,https://pypi.org/project/feast/0.4.7,https://github.com/gojek/feast
21,0,0,0,"Nov  1, 2018",112,"Dec 21, 2018",10.7 MB,719,3,51,https://github.com/gojek/feast,Feast,https://pypi.org/project/Feast/0.3.0,https://github.com/gojek/feast
23,0,34,541,"Dec 23, 2009",130,"Jan 25, 2020",15.7 MB,684,25,36,https://www.py4j.org/,py4j,https://pypi.org/project/py4j/0.10.9,https://github.com/bartdag/py4j
34,0,0,0,"Feb  3, 2020",315,"Feb  3, 2020",302 MB,619,1,82,https://github.com/DataSystemsLab/GeoSpark/tree/master/python,geo-pyspark,https://github.com/DataSystemsLab/GeoSpark,https://github.com/DataSystemsLab/GeoSpark/tree/master/python
34,0,0,0,"Feb  8, 2020",315,"Feb 18, 2020",302 MB,619,4,82,https://github.com/DataSystemsLab/GeoSpark/tree/master/python,geospark,https://github.com/DataSystemsLab/GeoSpark,https://github.com/DataSystemsLab/GeoSpark/tree/master/python
40,0,3,2,"Oct 19, 2018",165,"May 16, 2019",36.3 MB,618,5,35,https://github.com/awslabs/mxnet-model-server/model-archiver/,model-archiver,https://github.com/awslabs/mxnet-model-server,https://github.com/awslabs/mxnet-model-server/model-archiver/
40,4,0,2,"Nov 30, 2017",165,"Nov 14, 2019",36.3 MB,618,423,35,https://github.com/awslabs/mxnet-model-server,mxnet-model-server,https://pypi.org/project/mxnet-model-server/1.0.9b20191114,https://github.com/awslabs/mxnet-model-server
40,0,0,0,"Nov 16, 2019",165,about 14 hours ago,36.3 MB,618,98,35,https://github.com/awslabs/multi-model-server,multi-model-server,https://pypi.org/project/multi-model-server/1.1.1b20200419,https://github.com/awslabs/multi-model-server
5,0,0,0,"Mar 21, 2019",124,"Mar 21, 2019",50.4 MB,618,1,96,https://github.com/ahmetaa/zemberek-nlp,zemberek-grpc,https://pypi.org/project/zemberek-grpc/0.16.0,https://github.com/ahmetaa/zemberek-nlp
11,0,2,8,"Jun  5, 2014",43,"Feb 17, 2020",1.46 MB,480,56,18,https://github.com/paulfitz/daff,daff,https://pypi.org/project/daff/1.3.43,https://github.com/paulfitz/daff
8,1,0,1,"Jul 30, 2017",56,"Dec 22, 2019",13.2 MB,448,7,24,https://github.com/stathissideris/ditaa,sphinxcontrib-ditaa,https://pypi.org/project/sphinxcontrib-ditaa/0.7,https://github.com/stathissideris/ditaa
1,0,0,0,"Jul  6, 2017",207,"Dec  5, 2017",18.8 MB,429,7,125,https://github.com/sun0x00/redtorch,redtorch,https://pypi.org/project/redtorch/0.1.2,https://github.com/sun0x00/redtorch
1,0,0,0,"Dec  8, 2019",127,"Jan 11, 2020",22.2 MB,424,2,47,https://github.com/apache/incubator-iotdb,apache-iotdb,https://pypi.org/project/apache-iotdb/0.9.1,https://github.com/apache/incubator-iotdb
59,0,0,0,"Oct  2, 2019",162,about 2 months ago,874 MB,373,2,71,https://locationtech.github.io/geowave/,pygw,https://pypi.org/project/pygw/1.1.0,https://github.com/locationtech/geowave
21,0,0,9,"Sep 29, 2016",89,"Sep 29, 2016",688 KB,327,1,30,https://github.com/botanio/sdk,botanio,https://pypi.org/project/botanio/1.0.0,https://github.com/botanio/sdk
14,0,0,8,"May  2, 2015",118,"Jan 25, 2016",3.51 MB,320,20,78,http://github.com/broadinstitute/wdl,wdl,https://pypi.org/project/wdl/1.0.22,https://github.com/broadinstitute/wdl
27,0,0,1,"Jun 13, 2015",258,"Jun 13, 2015",34.5 MB,311,1,76,https://github.com/cinchapi/concourse,concourse-driver-python,https://pypi.org/project/concourse-driver-python/0.5.0,https://github.com/cinchapi/concourse
28,0,0,0,"Jun 24, 2019",87,about 2 months ago,105 MB,281,3,104,https://github.com/gridgain/gridgain/tree/master/modules/platforms/python,pygridgain,https://github.com/gridgain/gridgain,https://github.com/gridgain/gridgain/tree/master/modules/platforms/python
3,0,0,0,"Jul 31, 2015",19,"Aug  3, 2015",280 KB,273,6,28,https://github.com/EverythingMe/inbloom,inbloom,https://pypi.org/project/inbloom/0.2.2,https://github.com/EverythingMe/inbloom
12,0,2,34,"Jan 22, 2015",98,"Jun 20, 2017",476 KB,240,5,36,https://github.com/google/gtfs-realtime-bindings,gtfs-realtime-bindings,https://pypi.org/project/gtfs-realtime-bindings/0.0.5,https://github.com/google/gtfs-realtime-bindings
25,0,0,0,"May  6, 2015",255,"May  6, 2015",26.4 MB,238,1,73,http://cloudera.github.com/cm_api/,cm_api,https://pypi.org/project/cm_api/10.0.0,https://github.com/cloudera/cm_api
25,0,0,78,"Jun 13, 2013",255,"Jun 28, 2018",26.4 MB,238,19,73,http://cloudera.github.com/cm_api/,cm-api,https://pypi.org/project/cm-api/20.0.0,https://github.com/cloudera/cm_api
25,1,0,0,"Dec 20, 2018",255,"Dec 20, 2018",26.4 MB,238,1,73,http://cloudera.github.com/cm_api/,cm-api-catch,https://pypi.org/project/cm-api-catch/0.11.0.1,https://github.com/cloudera/cm_api
26,0,0,1,"Nov 25, 2015",134,"Nov 25, 2015",1.64 MB,200,4,98,https://github.com/GoogleCloudPlatform/google-cloud-datastore,testing-v1beta3-googledatastore,https://pypi.org/project/testing-v1beta3-googledatastore/4.0.0b4,https://github.com/GoogleCloudPlatform/google-cloud-datastore
26,0,1,1,"Aug 15, 2016",134,"Oct 13, 2017",1.64 MB,200,7,98,https://github.com/GoogleCloudPlatform/google-cloud-datastore,proto-google-datastore-v1,https://pypi.org/project/proto-google-datastore-v1/1.5.0,https://github.com/GoogleCloudPlatform/google-cloud-datastore
26,0,1,4,"Sep  9, 2015",134,"Nov 25, 2015",1.64 MB,200,11,98,https://github.com/GoogleCloudPlatform/google-cloud-datastore,proto-google-datastore-v1beta3,https://pypi.org/project/proto-google-datastore-v1beta3/0.0.3pre,https://github.com/GoogleCloudPlatform/google-cloud-datastore
26,3,0,33,"May 14, 2013",134,"Nov 19, 2018",1.64 MB,200,22,98,https://github.com/GoogleCloudPlatform/google-cloud-datastore,googledatastore,https://pypi.org/project/googledatastore/7.1.0,https://github.com/GoogleCloudPlatform/google-cloud-datastore
