Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
18,1,0,0,"Jul  6, 2015",48,"Sep  1, 2015",74.6 MB,37,3,28,https://github.com/asposecells/Aspose_Cells_Java/tree/master/Plugins/Aspose_Cells_Java_for_Ruby,asposecellsjava,https://github.com/asposecells/Aspose_Cells_Java,https://github.com/asposecells/Aspose_Cells_Java/tree/master/Plugins/Aspose_Cells_Java_for_Ruby
4,2,1,3,"Sep  3, 2016",17,4 days ago,48.3 MB,35,31,14,https://github.com/shinesolutions/swagger-aem/tree/master/clients/ruby,swagger_aem,https://github.com/shinesolutions/swagger-aem,https://github.com/shinesolutions/swagger-aem/tree/master/clients/ruby
12,0,0,0,"Feb 16, 2015",19,"Nov 26, 2019",396 KB,34,34,12,https://github.com/embulk/embulk-input-s3,embulk-input-s3,https://rubygems.org/gems/embulk-input-s3/versions/0.3.5,https://github.com/embulk/embulk-input-s3
12,0,0,0,"Feb  6, 2015",19,"Feb  6, 2015",396 KB,34,1,12,https://github.com/embulk/embulk-plugin-s3,embulk-plugin-s3,https://github.com/embulk/embulk-input-s3,https://github.com/embulk/embulk-plugin-s3
12,0,0,0,"Jun 26, 2015",19,"Nov 26, 2019",396 KB,34,26,12,https://github.com/embulk/embulk-input-s3,embulk-input-riak_cs,https://rubygems.org/gems/embulk-input-riak_cs/versions/0.3.5,https://github.com/embulk/embulk-input-s3
17,1,0,0,"Jul 14, 2015",57,"Aug 28, 2015",44.4 MB,32,2,27,https://github.com/asposepdf/Aspose_Pdf_Java/tree/master/Plugins/Aspose_Pdf_Java_for_Ruby,asposepdfjava,https://github.com/asposepdf/Aspose_Pdf_Java,https://github.com/asposepdf/Aspose_Pdf_Java/tree/master/Plugins/Aspose_Pdf_Java_for_Ruby
38,0,123,6.29K,"Jul 25, 2009",59,"Feb 18, 2020",17.1 MB,30,68,10,https://github.com/jruby/jruby-openssl,jruby-openssl,https://rubygems.org/gems/jruby-openssl/versions/0.10.4,https://github.com/jruby/jruby-openssl
9,0,2,3,"Feb 16, 2015",20,"Dec 14, 2018",343 KB,25,21,11,https://github.com/embulk/embulk-output-elasticsearch,embulk-output-elasticsearch,https://rubygems.org/gems/embulk-output-elasticsearch/versions/0.4.7,https://github.com/embulk/embulk-output-elasticsearch
2,2,0,0,"Dec 14, 2010",1,"Apr 19, 2011",698 KB,25,7,6,http://github.com/luxdelux/redpack,redpack,https://rubygems.org/gems/redpack/versions/1.0.6,https://github.com/luxdelux/redpack
1,2,0,0,"Aug 19, 2013",11,"Aug 19, 2013",1.39 MB,24,1,7,https://github.com/groupon/Message-Bus,mbus,https://rubygems.org/gems/mbus/versions/1.0.0,https://github.com/groupon/Message-Bus
2,1,0,1,"Aug 25, 2013",2,"Aug 25, 2013",165 KB,21,1,3,http://github.com/headius/clojr,clojr,https://rubygems.org/gems/clojr/versions/0.0.2.1,https://github.com/headius/clojr
5,0,0,0,"Jun 23, 2015",9,"Aug 24, 2017",241 KB,20,24,3,https://github.com/sonots/embulk-filter-column,embulk-filter-column,https://rubygems.org/gems/embulk-filter-column/versions/0.7.0,https://github.com/sonots/embulk-filter-column
5,0,0,0,"Jul  3, 2015",9,"Jul  3, 2015",241 KB,20,1,3,https://github.com/sonots/embulk-filter-select_column,embulk-filter-select_column,https://rubygems.org/gems/embulk-filter-select_column/versions/0.1.2,https://github.com/sonots/embulk-filter-select_column
4,0,0,0,"Feb 17, 2015",4,"Jun 10, 2018",139 KB,19,6,2,https://github.com/choplin/embulk-output-parquet,embulk-output-parquet,https://rubygems.org/gems/embulk-output-parquet/versions/0.6.0,https://github.com/choplin/embulk-output-parquet
1,1,0,1,"Dec 16, 2010",1,"Dec 16, 2010",530 KB,19,2,1,http://github.com/arrac/eluka,eluka,https://rubygems.org/gems/eluka/versions/0.1.1,https://github.com/arrac/eluka
2,1,0,1,"Feb 17, 2012",0,"Feb 17, 2012",180 KB,18,2,2,http://github.com/headius/forkjoin.rb,forkjoin,https://rubygems.org/gems/forkjoin/versions/1.0.1,https://github.com/headius/forkjoin.rb
3,3,0,4,"Jul 17, 2012",7,"Aug 23, 2013",14.7 MB,18,21,6,http://github.com/leandog/gametel,gametel,https://rubygems.org/gems/gametel/versions/0.8,https://github.com/leandog/gametel
5,3,0,0,"May  2, 2011",8,"Jan 11, 2012",1.63 MB,18,5,1,https://github.com/dain/galaxy-server,com.proofpoint.galaxy.cli,https://rubygems.org/gems/com.proofpoint.galaxy.cli/versions/0.7,https://github.com/dain/galaxy-server
4,0,1,163,"Jun 16, 2011",0,"Jun 16, 2011",117 KB,18,1,53,http://github.com/rubinius/rubinius-core-api,rubinius-core-api,https://rubygems.org/gems/rubinius-core-api/versions/0.0.1,https://github.com/rubinius/rubinius-core-api
5,3,2,19,"Feb 26, 2011",8,"Jan 17, 2020",1.54 MB,18,71,3,http://github.com/mguymon/naether,naether,https://rubygems.org/gems/naether/versions/0.15.7,https://github.com/mguymon/naether
15,1,0,0,"Sep 16, 2015",23,"Sep 16, 2015",35.5 MB,17,1,17,https://github.com/asposeocr/Aspose_OCR_Java/tree/master/Plugins/Aspose_OCR_Java_for_Ruby,asposeocrjava,https://github.com/asposeocr/Aspose_OCR_Java,https://github.com/asposeocr/Aspose_OCR_Java/tree/master/Plugins/Aspose_OCR_Java_for_Ruby
6,0,2,5,"Apr  4, 2015",12,"Dec  4, 2019",89.8 KB,17,6,3,https://github.com/shun0102/embulk-parser-jsonl,embulk-parser-jsonl,https://rubygems.org/gems/embulk-parser-jsonl/versions/0.2.1,https://github.com/shun0102/embulk-parser-jsonl
1,1,1,1,"Mar 21, 2016",1,16 days ago,5.6 MB,16,50,4,https://ruby-processing.github.io/propane/,propane,https://rubygems.org/gems/propane/versions/3.5.0,https://github.com/ruby-processing/propane
23,5,0,3,"Feb 20, 2013",9,"Jun 10, 2013",32.6 MB,15,12,3,http://selendroid.io,selendroid,https://rubygems.org/gems/selendroid/versions/0.4.0,https://github.com/DominikDary/selendroid
3,1,1,5,"Sep 11, 2012",5,"Aug 20, 2013",20.5 MB,15,12,8,http://github.com/leandog/brazenhead,brazenhead,https://rubygems.org/gems/brazenhead/versions/0.4.8,https://github.com/leandog/brazenhead
1,2,0,0,"Aug 28, 2017",8,"Aug 28, 2017",12.4 MB,15,1,0,https://github.com/cliffano/swaggy-jenkins,swaggy_jenkins,https://rubygems.org/gems/swaggy_jenkins/versions/0.0.1,https://github.com/cliffano/swaggy-jenkins
2,0,2,98,"Mar 12, 2010",5,"Jun  3, 2010",130 KB,15,4,1,http://github.com/headius/weakling,weakling,https://rubygems.org/gems/weakling/versions/0.0.4,https://github.com/headius/weakling
2,0,0,0,"Mar  7, 2015",4,"Mar  8, 2015",224 KB,15,2,2,https://github.com/takumakanari/embulk-plugin-input-http,embulk-plugin-input-http,https://github.com/takumakanari/embulk-input-http,https://github.com/takumakanari/embulk-plugin-input-http
2,0,0,0,"Mar  8, 2015",4,"Aug  5, 2019",224 KB,15,20,2,https://github.com/takumakanari/embulk-input-http,embulk-input-http,https://rubygems.org/gems/embulk-input-http/versions/0.22.0,https://github.com/takumakanari/embulk-input-http
3,0,0,0,"Sep  6, 2017",3,"Sep  6, 2017",330 KB,13,1,6,https://github.com/embulk/embulk-executor-mapreduce,embulk-executor-mapreduce_2_6,https://rubygems.org/gems/embulk-executor-mapreduce_2_6/versions/0.4.0,https://github.com/embulk/embulk-executor-mapreduce
3,0,0,0,"Apr  8, 2015",3,"Jun 28, 2017",330 KB,13,16,6,https://github.com/embulk/embulk-executor-mapreduce,embulk-executor-mapreduce,https://rubygems.org/gems/embulk-executor-mapreduce/versions/0.3.0,https://github.com/embulk/embulk-executor-mapreduce
3,0,0,0,"Sep  6, 2017",3,"Sep  6, 2017",330 KB,13,1,6,https://github.com/embulk/embulk-executor-mapreduce,embulk-executor-mapreduce_2_7,https://rubygems.org/gems/embulk-executor-mapreduce_2_7/versions/0.4.0,https://github.com/embulk/embulk-executor-mapreduce
17,1,0,0,"Aug 17, 2015",18,"Aug 28, 2015",2.51 MB,12,2,16,https://github.com/asposebarcode/Aspose_Barcode_Java/tree/master/Plugins/Aspose_Barcode_Java_for_Ruby,asposebarcodejava,https://github.com/asposebarcode/Aspose_Barcode_Java,https://github.com/asposebarcode/Aspose_Barcode_Java/tree/master/Plugins/Aspose_Barcode_Java_for_Ruby
